x,y,showSelected,PANEL,group
0.651547010109283,0.615809880097262,Hipk2,1,3922
0.636047420645958,0.612867636099816,Ppm1e,1,7218
0.308919541922215,0.612867636099816,Myo1b,1,4900
0.648962699511831,0.612811122853024,Cryab,1,361
0.321137975039872,0.612811122853024,Foxc1,1,1698
0.350873755057465,0.611739519423909,Errfi1,1,216
0.348078843118941,0.611563779254767,Blnk,1,9448
0.33328425576163,0.611563779254767,Hsd17b11,1,2264
0.318918609169503,0.611052652953902,Capn6,1,2687
0.670941155852103,0.610604248800142,Scrn1,1,5342
0.352851985529366,0.607536590896931,Slc20a1,1,8021
0.34110641202657,0.607296687251986,9930013L23Rik,1,2575
0.326858509779055,0.606452118080771,Adm,1,191
0.660164515828144,0.604460058493372,Plcb4,1,4104
0.635710291190339,0.603862946389612,Tcf7,1,6748
0.328012111563917,0.60258725810026,Ptgis,1,8684
0.328636386641475,0.601760315667816,Bnc1,1,3933
0.639553190537119,0.601553141459384,Kif5c,1,3109
0.336154666294123,0.601524232427345,Trps1,1,7005
0.336168469361165,0.600391451622882,Kif16b,1,5486
0.357266457334092,0.597639116576274,Selm,1,3735
0.648765273825662,0.596581203134858,Podxl,1,804
0.367340395763211,0.595919674527257,Loxl1,1,7504
0.628220245083912,0.59187589289492,Unc5b,1,7246
0.339528052224113,0.590546770959042,Slc7a2,1,2996
0.367671460234828,0.590546770959042,Pdlim1,1,402
0.339221247688509,0.590520087570352,Enpp1,1,1613
0.321864309158586,0.590474721109314,Col6a3,1,3632
0.627057859529115,0.587600775272856,Meis2,1,669
0.637339680513374,0.587356302393977,Pde3b,1,6820
0.309597774443663,0.586973592513058,Slc38a4,1,5103
0.335862292237699,0.586896228999262,Agtr2,1,86
0.640891251490627,0.586076016157596,Hdac9,1,2418
0.36896121045369,0.58410160838781,Socs3,1,414
0.64755081306339,0.581832491815764,Il33,1,238
0.639823186893946,0.580997986889198,2210011C24Rik,1,5796
0.639261862167592,0.580292128740431,Cdh2,1,1438
0.363841318268192,0.578059545127971,Cda,1,4862
0.360617674701864,0.577335172173167,Fn1,1,4568
0.623336050725017,0.575659682363167,Plvap,1,1107
0.621607321146759,0.575659682363167,Itga7,1,1239
0.626957891861753,0.575122843950951,Inhbb,1,4653
0.359262046208486,0.573625574805136,Hoxc8,1,9534
0.373819890052297,0.572190026854204,Itpripl2,1,7426
0.338305225966664,0.569971878751223,Rgs4,1,279
0.64585868252653,0.565215607273674,Cap2,1,3237
0.314863017107856,0.563722655644276,Arhgap28,1,7165
0.360478598344552,0.561516510263272,Rian,1,4955
0.37325584654001,0.561516510263272,Spsb1,1,1949
0.633256900592402,0.5586017697714,Creld1,1,396
0.361473883133196,0.5586017697714,Fam13c,1,5854
0.633166762381874,0.557896495744568,Lsm12,1,5059
0.617464518797895,0.557165852903241,Eno3,1,1054
0.379542097890515,0.55641946348228,Ccl2,1,2003
0.637583743835153,0.55641946348228,A730054J21Rik,1,7981
0.62304806855356,0.555990096696113,Kif26b,1,8317
0.627329947259736,0.554458749999914,Ccdc122,1,10122
0.623697649254028,0.554458749999914,Sox21,1,7725
0.620610781533839,0.553322901363475,Sox11,1,5480
0.372617559258031,0.553250914352542,Arhgap29,1,8381
0.373452226539282,0.551827976942282,Car12,1,5246
0.372051006097191,0.549784590528126,Slit2,1,3844
0.332893796274259,0.548831777874255,Thbd,1,8962
0.620489900128536,0.544237568219965,Gpm6b,1,3178
0.34118191062054,0.542767065995407,Parvb,1,2749
0.362910656929788,0.542337417865389,S100a16,1,4184
0.321377228201925,0.538124978265293,Ldhb,1,235
0.386808994413104,0.535853526750293,Nov,1,4652
0.606687460499177,0.534020527423175,Mfap3l,1,5376
0.357343419889718,0.533141371062007,Cyp1b1,1,427
0.605170587086269,0.532146455437893,Dysf,1,9460
0.602841005816947,0.531921745000326,Adamtsl3,1,8271
0.61107432616982,0.531581019248601,Slc6a6,1,1948
0.376133576880783,0.528996406134322,Arhgef28,1,1686
0.682101144692532,0.528521708317973,Alcam,1,4434
0.384237022921038,0.527950956954403,Ppp3ca,1,4472
0.379513446069535,0.527858198697221,Slc43a3,1,3056
0.384610542280677,0.525914319198001,,1,487
0.613558041687772,0.525854864827603,Artn,1,6381
0.60599814369662,0.525190338452714,Cx3cl1,1,69
0.603110165624256,0.524217542992526,Klhdc8a,1,3930
